path,src,zip,member,licence,side,palette
0000202.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,49,539
0000203.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,57,651
0000204.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,53,628
0000205.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,44,413
0000206.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,37,350
0000207.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,57,469
0000208.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,36,384
0000209.png,data/oga3_cut_ccby,2D_Art_00.zip,photonicicon3_0.png,CC-BY-4.0,64,926
0000210.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,12,4
0000211.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,12,4
0000212.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,12,7
0000213.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,12,8
0000214.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,12,8
0000215.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,6
0000216.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,6
0000217.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,12,8
0000218.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,12,6
0000219.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,12,5
0000220.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,6
0000221.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,6
0000222.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,6
0000223.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,6
0000224.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,6
0000225.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,6
0000226.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,6
0000227.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,6
0000228.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,6
0000229.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,6
0000230.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,6
0000231.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,6
0000232.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,6
0000233.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
0000234.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
0000235.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,6
0000236.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,6
0000237.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,6
0000238.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,14,8
0000239.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,8
0000240.png,data/oga3_cut_ccby,2D_Art_00.zip,shields-2-near-alpha.png,CC-BY-4.0,15,8
